"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"1","42.344400999998705","13.401299999998551","1","0"
"1","42.34360099999872","13.401879999998554","2","101"
"1","42.34360099999872","13.401879999998554","3","101"
"1","42.344160999998685","13.397799999998533","4","443"
"1","42.344160999998685","13.397799999998533","5","443"
"1","42.34399099999869","13.396259999998527","6","571"
"1","42.34399099999869","13.396259999998527","7","571"
"1","42.34235099999868","13.395329999998522","8","769"
"1","42.34235099999868","13.395329999998522","9","769"
"1","42.3404309999987","13.400409999998548","10","1239"
"1","42.3404309999987","13.400409999998548","11","1239"
"1","42.33948099999872","13.405649999998568","12","1683"
"1","42.33948099999872","13.405649999998568","13","1683"
"1","42.33916099999875","13.409279999998589","14","1984"
"1","42.33916099999875","13.409279999998589","15","1984"
"1","42.336400999998766","13.412709999998604","16","2401"
"1","42.336400999998766","13.412709999998604","17","2401"
"1","42.334100999998775","13.415309999998614","18","2735"
"1","42.334100999998775","13.415309999998614","19","2735"
"1","42.33131099999879","13.417579999998622","20","3097"
"1","42.33131099999879","13.417579999998622","21","3097"
"1","42.32645099999881","13.421909999998643","22","3744"
"1","42.32645099999881","13.421909999998643","23","3744"
"1","42.31627099999884","13.430769999998684","24","5090"
"1","42.31627099999884","13.430769999998684","25","5090"
"1","42.31436099999886","13.433529999998695","26","5401"
"1","42.31436099999886","13.433529999998695","27","5401"
"1","42.31281099999888","13.436339999998705","28","5690"
"1","42.31281099999888","13.436339999998705","29","5690"
"1","42.311320999998884","13.438979999998718","30","5963"
"1","42.311320999998884","13.438979999998718","31","5963"
"1","42.3091609999989","13.443449999998736","32","6403"
"1","42.3091609999989","13.443449999998736","33","6403"
"1","42.30790099999893","13.44677999999875","34","6711"
"1","42.30790099999893","13.44677999999875","35","6711"
"1","42.308830999998946","13.454799999998782","36","7380"
"1","42.308830999998946","13.454799999998782","37","7380"
"1","42.306460999998976","13.457659999998794","38","7734"
"1","42.306460999998976","13.457659999998794","39","7734"
"1","42.30961099999897","13.4592799999988","40","8108"
"1","42.30961099999897","13.4592799999988","41","8108"
"1","42.31280099999899","13.460359999998806","42","8474"
"1","42.31280099999899","13.460359999998806","43","8474"
"1","42.31803099999899","13.46342999999882","44","9107"
"1","42.31803099999899","13.46342999999882","45","9107"
"1","42.31953099999899","13.464779999998823","46","9308"
"1","42.31953099999899","13.464779999998823","47","9308"
"1","42.31959099999897","13.462699999998815","48","9479"
"1","42.31959099999897","13.462699999998815","49","9479"
"1","42.31885099999898","13.460309999998806","50","9693"
"1","42.31885099999898","13.460309999998806","51","9693"
"1","42.31976099999898","13.462839999998815","52","9925"
"1","42.31976099999898","13.462839999998815","53","9925"
"1","42.30301099999907","13.484709999998898","54","12516"
"1","42.30301099999907","13.484709999998898","55","12516"
"1","42.30083099999906","13.4844999999989","56","12758"
"1","42.30083099999906","13.4844999999989","57","12758"
"1","42.29850099999908","13.4856799999989","58","13035"
"1","42.29850099999908","13.4856799999989","59","13035"
"1","42.29618099999907","13.486999999998906","60","13315"
"1","42.29618099999907","13.486999999998906","61","13315"
"1","42.29880099999908","13.485529999998903","62","13630"
"1","42.29880099999908","13.485529999998903","63","13630"
"1","42.30101099999907","13.484619999998898","64","13887"
"1","42.30101099999907","13.484619999998898","65","13887"
"1","42.302334999999054","13.484745999998898","66","14034"
"1","42.302334999999054","13.484745999998898","67","14034"
"1","42.29833099999908","13.488759999998912","68","14588"
"1","42.29833099999908","13.488759999998912","69","14588"
"1","42.29916099999911","13.49549999999894","70","15152"
"1","42.29916099999911","13.49549999999894","71","15152"
"1","42.30666099999914","13.50697999999898","72","16413"
"2","42.30666099999914","13.50697999999898","1","0"
"2","42.30603099999915","13.506679999998978","2","74"
"2","42.30603099999915","13.506679999998978","3","74"
"2","42.29898099999911","13.494719999998935","4","1334"
"2","42.29898099999911","13.494719999998935","5","1334"
"2","42.298430999999084","13.488569999998912","6","1844"
"2","42.298430999999084","13.488569999998912","7","1844"
"2","42.30083099999906","13.4844999999989","8","2273"
"2","42.30083099999906","13.4844999999989","9","2273"
