"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible"
"1","4","1","","5057","0","TF01","8",""
"1","4","2","","5059","0","TF02","8",""
"1","4","3","","5061","0","TF03","8",""
"1","4","4","","5058","0","TF02","8",""
"1","4","5","","5060","0","TF03","8",""
"1","4","6","","5070","0","TF01","10",""
"1","4","7","","5072","1","TF01","7",""
"1","4","8","","5063","1","TF01","9",""
"1","4","9","","5064","1","TF02","9",""
"1","4","10","","5062","0","TF04","8",""
"1","4","11","","5065","1","TF02","9",""
"1","4","12","","5069","1","TF04","9",""
"1","4","13","","5066","1","TF03","9",""
"1","4","14","","5068","1","TF03","9",""
"1","4","15","","5071","0","TF04","10",""
"1","4","16","","5073","1","TF04","7",""
"17","2","17","","4826","0","AQ001","4","1"
"17","2","18","","4867","0","AQ001","4","1"
"17","2","19","","4867","0","AQ001","4","1"
"17","2","20","","4827","0","AQ001","4","1"
"17","2","21","","4846","0","AQ003","4","1"
"17","2","22","","4867","0","AQ001","4","1"
"17","2","23","","4829","0","AQ001","4","1"
"17","2","24","","4835","0","AQ001","4","1"
"17","2","25","","4828","0","AQ001","4","1"
"17","2","26","","4834","0","AQ001","4","1"
"17","2","27","","4848","0","AQ003","4","1"
"17","2","28","","4830","0","AQ001","4",""
"17","2","29","","4847","0","AQ003","4","1"
"17","2","30","","4831","0","AQ001","4",""
"17","2","31","","4851","0","AQ003","4","1"
"17","2","32","","4832","0","AQ001","4","1"
"17","2","33","","4833","0","AQ001","4","1"
"17","2","34","","4850","0","AQ003","4","1"
"17","2","35","","4843","0","AQ002","4","1"
"17","2","36","","4836","0","AQ002","4","1"
"17","2","37","","4841","0","AQ002","4","1"
"17","2","38","","4844","0","AQ002","4","1"
"17","2","39","","4837","0","AQ002","4","1"
"17","2","40","","4841","0","AQ002","4","1"
"17","2","41","","4838","0","AQ002","4","1"
"17","2","42","","4838","0","AQ002","4","1"
"17","2","43","","4841","0","AQ002","4","1"
"17","2","44","","4868","0","AQ003","4","1"
"17","2","45","","4842","0","AQ002","4","1"
"17","2","46","","4845","0","AQ003","4","1"
"17","2","47","","4849","0","AQ003","4","1"
"17","2","48","","4869","0","AQ003","4","1"
"17","2","49","","4870","0","AQ003","4","1"
"17","2","50","","4871","0","AQ003","4","1"
"15","3","51","","4403","0","AQ079","118",""
"4","3","52","","4400","0","AQ016","44",""
"15","3","53","","4404","0","AQ011","118",""
"23","3","54","","3983","0","AQ115","3",""
"23","3","55","","3987","0","AQ099","3",""
"17","3","56","","4828","0","AQ100","4","1"
"13","3","57","","4538","0","AQ107","90",""
"13","3","58","","4542","0","AQ032","217",""
"8","3","59","","4292","0","AQ063","141",""
"17","3","60","","4833","0","AQ100","4","1"
"17","3","61","","4830","0","AQ100","4","1"
"17","3","62","","4834","0","AQ100","4","1"
"17","3","63","","4831","0","AQ100","4","1"
"17","3","64","","4832","0","AQ100","4","1"
"12","3","65","","4583","1","AQ089","148",""
"23","3","66","","4021","1","AQ061","74",""
"7","3","67","","4355","1","AQ067","160",""
"24","3","68","","4621","1","AQ025","219",""
"10","3","69","","4653","1","AQ081","173",""
"19","3","70","","4776","0","AQ027","35",""
"19","3","71","","4774","0","AQ085","30",""
"14","3","72","","4772","1","AQ035","34",""
"19","3","73","","4775","0","AQ069","30",""
"23","3","74","","4064","1","AQ101","53",""
"23","3","75","","4079","1","AQ102","53",""
"20","3","76","","4738","1","AQ104","193",""
"20","3","77","","4737","1","AQ103","33",""
"20","3","78","","4740","1","AQ121","33",""
"19","3","79","","5108","0","AQ021","226",""
"19","3","80","","5109","0","AQ128","35",""
"19","3","81","","5103","0","AQ118","35",""
"19","3","82","","5105","0","AQ003","187",""
"19","3","83","","5104","0","AQ103","77",""
"21","3","84","","4187","0","AQ043","176",""
"21","3","85","","4186","0","AQ051","46",""
"21","3","86","","4189","0","AQ095","68",""
"18","3","87","","4748","0","AQ092","153","1"
"20","3","88","","4741","1","AQ062","33",""
"18","3","89","","4742","0","AQ038","108",""
"19","3","90","","4786","1","AQ085","54",""
"19","3","91","","4788","1","AQ069","31",""
"19","3","92","","4787","1","AQ074","167",""
"7","3","93","","4354","1","AQ059","169",""
"4","3","94","","4361","0","AQ124","44",""
"4","3","95","","4363","0","AQ044","222",""
"4","3","96","","4514","1","AQ007","57",""
"4","3","97","","4517","1","AQ096","57",""
"4","3","98","","4516","1","AQ124","57",""
"17","3","99","","4829","0","AQ100","4","1"
"18","3","100","","4764","1","AQ092","156","1"
"24","3","101","","4611","0","AQ025","218",""
"6","3","102","","4606","0","AQ058","86",""
