"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"1","A00000","TERMINALBUS","","42.3446209999987","13.40114999999855","","","0","","",""
"2","A00001","TERMINALBUS 1","","42.34447099999871","13.40110999999855","","","0","","",""
"3","A00002","TERMINALBUS 2","","42.344400999998705","13.401299999998551","","","0","","",""
"4","A00055","Corso Federico II - Bnl","","42.3480919999987","13.398663999998536","","","0","","",""
"5","A00070","VALE CRISPIi Villa Comunale fronte Gssi","","42.345735999998695","13.397401999998532","","","0","","",""
"6","A00080","VIALE CRISPI piazzale P. Paoli lato Gssi","","42.3453249999987","13.39702399999853","","","0","","",""
"7","A00100","VIALE CRISPI lato via Piave","","42.344090999998684","13.396439999998528","","","0","","",""
"8","A00110","VIALE CRISPI lato Cristo Re","","42.34399099999869","13.396259999998527","","","0","","",""
"9","A00120","VIALE CRISPI Porta Napoli fro XXIV Maggio","","42.34235099999868","13.395329999998522","","","0","","",""
"10","A00130","VIALE CRISPIi Porta Napoli lat XXIV Maggio","","42.342170999998686","13.395389999998525","","","0","","",""
"11","A00140","VIALE COLLEMAGGIO lato Emiciclo Regione","","42.344160999998685","13.397799999998533","","","0","","",""
"12","A00150","VIALE COLLEMAGGIO fronte Emiciclo Regione","","42.3440309999987","13.398099999998534","","","0","","",""
"13","A00160","VIA CALDORA fronte Collemaggio","","42.34360099999872","13.401879999998554","","","0","","",""
"14","A00170","VIA CALDORA lato Collemaggio","","42.34415099999871","13.402109999998554","","","0","","",""
"15","A00180","Via Strinella Porta Bazzano lato Porta","","42.34672099999872","13.402679999998558","","","0","","",""
"16","A00190","Via Strinella Porta Bazzano fronte Porta","","42.34680099999872","13.40327999999856","","","0","","",""
"17","A00200","Via Strinella fronte traversa Via Teramo","","42.348210999998734","13.405109999998569","","","0","","",""
"18","A00210","Via Strinella lato traversa Via Teramo","","42.34793099999874","13.404769999998566","","","0","","",""
"19","A00220","VIA STRINELLA fronte Parco Unicef","","42.35023099999872","13.406199999998572","","","0","","",""
